pr_number,comment_type,author,sentiment_numeric,sentiment_label,sentiment_score,created_at
1438,review,inwaves,3,NEU,0.8016824722290039,2023-12-21 09:48:56+00:00
1438,review,etr2460,3,NEU,0.6971489191055298,2023-12-21 17:40:31+00:00
1435,review_body,etr2460,5,POS,0.7508198022842407,
1429,review,logankilpatrick,5,POS,0.7797618508338928,2023-12-10 17:59:52+00:00
1429,review,logankilpatrick,3,NEU,0.8391569256782532,2023-12-10 18:02:16+00:00
1429,review,logankilpatrick,5,POS,0.8083999752998352,2023-12-10 18:02:46+00:00
1429,review,logankilpatrick,3,NEU,0.954586923122406,2023-12-10 18:03:30+00:00
1429,review_body,etr2460,5,POS,0.9738502502441406,
1427,issue,etr2460,3,NEU,0.9216607809066772,2023-12-11 17:07:33+00:00
1422,issue,return-nil,5,POS,0.7740328907966614,2023-12-08 19:49:18+00:00
1422,review_body,usama-openai,5,POS,0.9813874959945679,
1420,issue,mmtmn,5,POS,0.990454375743866,2023-12-02 07:57:50+00:00
1420,review,etr2460,1,NEG,0.5121535062789917,2023-12-05 00:28:22+00:00
1420,review,jwang47,1,NEG,0.8529595136642456,2023-12-05 01:38:08+00:00
1420,review,jwang47,1,NEG,0.6156919002532959,2023-12-05 01:39:42+00:00
1420,review,etr2460,3,NEU,0.8554141521453857,2023-12-05 01:53:11+00:00
1420,review,etr2460,1,NEG,0.7206148505210876,2023-12-05 01:55:54+00:00
1420,review,etr2460,3,NEU,0.7282332181930542,2023-12-05 02:12:13+00:00
1415,review,krychu,3,NEU,0.8638030886650085,2023-11-16 15:14:00+00:00
1401,issue,JunShern,3,NEU,0.934601366519928,2023-11-10 12:23:09+00:00
1400,issue,svanhvitlilja,5,POS,0.9728075265884399,2023-12-06 15:18:40+00:00
1400,issue,etr2460,5,POS,0.8331633806228638,2023-12-11 23:40:37+00:00
1400,issue,etr2460,3,NEU,0.8131642937660217,2024-01-10 16:22:57+00:00
1400,review_body,usama-openai,5,POS,0.867626428604126,
1400,review_body,usama-openai,5,POS,0.986346423625946,
1397,review_body,andrew-openai,5,POS,0.984700083732605,
1395,issue,MoonBlvd,5,POS,0.9766844511032104,2023-12-12 01:38:03+00:00
1391,review_body,JunShern,5,POS,0.979313313961029,
1390,review_body,JunShern,5,POS,0.979313313961029,
1389,review_body,logankilpatrick,5,POS,0.982832133769989,
1388,review,danesherbs,3,NEU,0.8357850313186646,2023-10-24 03:45:12+00:00
1388,review_body,logankilpatrick,5,POS,0.9888215065002441,
1387,issue,andrew-openai,5,POS,0.9917269945144653,2023-10-27 17:29:22+00:00
1387,review,andrew-openai,3,NEU,0.80298912525177,2023-10-27 17:25:32+00:00
1387,review,vthorsteinsson,5,POS,0.8852885365486145,2023-10-27 17:33:59+00:00
1381,review_body,mmtmn,5,POS,0.981291651725769,
1381,review_body,etr2460,5,POS,0.9900690913200378,
1378,review_body,logankilpatrick,5,POS,0.9864969849586487,
1368,review_body,usama-openai,5,POS,0.9906548857688904,
1366,review_body,andrew-openai,3,NEU,0.8834752440452576,
1366,review_body,usama-openai,5,POS,0.9906548857688904,
1366,review_body,andrew-openai,5,POS,0.9897554516792297,
1365,issue,logankilpatrick,5,POS,0.9510151743888855,2023-09-25 21:28:33+00:00
1356,issue,andrew-openai,1,NEG,0.5311840772628784,2023-09-19 00:31:04+00:00
1356,review,andrew-openai,3,NEU,0.8685794472694397,2023-09-19 00:30:20+00:00
1355,review,andrew-openai,3,NEU,0.906633734703064,2023-09-19 00:31:40+00:00
1355,review_body,andrew-openai,3,NEU,0.9369580745697021,
1354,review_body,andrew-openai,1,NEG,0.5432056784629822,
1352,review,sjadler2004,3,NEU,0.6229346990585327,2023-09-19 01:26:27+00:00
1352,review_body,andrew-openai,3,NEU,0.625533401966095,
1351,review_body,andrew-openai,1,NEG,0.7166867256164551,
1351,review_body,andrew-openai,5,POS,0.9918236136436462,
1349,review_body,usama-openai,5,POS,0.7156047224998474,
1349,review_body,usama-openai,5,POS,0.986346423625946,
1347,review_body,jwang47,5,POS,0.9921351671218872,
1345,review_body,usama-openai,5,POS,0.9906548857688904,
1343,issue,rohoswagger,5,POS,0.9889193177223206,2023-09-08 23:03:36+00:00
1343,review_body,usama-openai,5,POS,0.9906548857688904,
