pr_number,comment_type,author,sentiment_numeric,sentiment_label,sentiment_score,created_at
1452,review_body,JunShern,5,5 stars,0.45668840408325195,
1451,review_body,etr2460,5,5 stars,0.49528825283050537,
1449,issue,JunShern,4,4 stars,0.27608680725097656,2024-03-13 07:52:06+00:00
1445,review_body,etr2460,5,5 stars,0.6393343210220337,
1444,review_body,katyhshi,5,5 stars,0.48251277208328247,
1442,review_body,logankilpatrick,5,5 stars,0.45999249815940857,
1439,review_body,etr2460,4,4 stars,0.609917938709259,
1438,review,etr2460,1,1 star,0.4379540681838989,2023-12-20 23:03:16+00:00
1438,review,inwaves,3,3 stars,0.4348132610321045,2023-12-21 09:48:56+00:00
1438,review,etr2460,3,3 stars,0.28486180305480957,2023-12-21 17:40:31+00:00
1435,review_body,etr2460,5,5 stars,0.473408043384552,
1429,review,logankilpatrick,4,4 stars,0.269743949174881,2023-12-10 17:59:52+00:00
1429,review,logankilpatrick,5,5 stars,0.47060269117355347,2023-12-10 18:02:16+00:00
1429,review,logankilpatrick,4,4 stars,0.27105945348739624,2023-12-10 18:02:46+00:00
1429,review,logankilpatrick,5,5 stars,0.3700425922870636,2023-12-10 18:03:30+00:00
1429,review_body,etr2460,5,5 stars,0.4781598150730133,
1427,issue,etr2460,5,5 stars,0.5260075926780701,2023-12-11 17:07:33+00:00
1422,issue,return-nil,5,5 stars,0.45660433173179626,2023-12-08 19:49:18+00:00
1422,review_body,usama-openai,3,3 stars,0.4341477155685425,
1422,review_body,usama-openai,5,5 stars,0.47566327452659607,
1420,issue,mmtmn,5,5 stars,0.8574478626251221,2023-12-02 07:57:50+00:00
1420,review,etr2460,3,3 stars,0.3509562909603119,2023-12-05 00:28:22+00:00
1420,review,jwang47,3,3 stars,0.5570061802864075,2023-12-05 01:38:08+00:00
1420,review,jwang47,2,2 stars,0.3460642099380493,2023-12-05 01:39:42+00:00
1420,review,etr2460,3,3 stars,0.3113698661327362,2023-12-05 01:53:11+00:00
1420,review,etr2460,4,4 stars,0.22851672768592834,2023-12-05 01:55:54+00:00
1420,review,etr2460,3,3 stars,0.40479299426078796,2023-12-05 02:12:13+00:00
1415,review,krychu,3,3 stars,0.5651857852935791,2023-11-16 15:14:00+00:00
1401,issue,JunShern,4,4 stars,0.4125271439552307,2023-11-10 12:23:09+00:00
1400,issue,svanhvitlilja,5,5 stars,0.7903698682785034,2023-12-06 15:18:40+00:00
1400,issue,etr2460,5,5 stars,0.35106170177459717,2023-12-11 23:40:37+00:00
1400,issue,etr2460,4,4 stars,0.3562804162502289,2024-01-10 16:22:57+00:00
1400,review_body,usama-openai,4,4 stars,0.42674392461776733,
1400,review_body,usama-openai,5,5 stars,0.5532419085502625,
1397,review_body,andrew-openai,4,4 stars,0.627648651599884,
1395,issue,MoonBlvd,5,5 stars,0.731137752532959,2023-12-12 01:38:03+00:00
1391,review_body,JunShern,5,5 stars,0.6861252188682556,
1390,review_body,JunShern,5,5 stars,0.6861252188682556,
1389,review_body,logankilpatrick,5,5 stars,0.7251479029655457,
1388,review,danesherbs,3,3 stars,0.4279178977012634,2023-10-24 03:45:12+00:00
1388,review_body,logankilpatrick,5,5 stars,0.6466814875602722,
1387,issue,andrew-openai,5,5 stars,0.7087664604187012,2023-10-27 17:29:22+00:00
1387,review,andrew-openai,3,3 stars,0.4282424747943878,2023-10-27 17:25:32+00:00
1387,review,vthorsteinsson,5,5 stars,0.29573625326156616,2023-10-27 17:33:59+00:00
1381,review_body,mmtmn,5,5 stars,0.5973679423332214,
1381,review_body,etr2460,5,5 stars,0.8799944519996643,
1378,review_body,logankilpatrick,4,4 stars,0.48964861035346985,
1368,review_body,usama-openai,5,5 stars,0.6098089218139648,
1366,issue,mmtmn,4,4 stars,0.2802952527999878,2023-10-11 04:47:49+00:00
1366,review_body,andrew-openai,4,4 stars,0.4441375136375427,
1366,review_body,usama-openai,5,5 stars,0.6098089218139648,
1366,review_body,andrew-openai,5,5 stars,0.7051619291305542,
1365,issue,logankilpatrick,4,4 stars,0.45666423439979553,2023-09-25 21:28:33+00:00
1356,issue,andrew-openai,1,1 star,0.42852556705474854,2023-09-19 00:31:04+00:00
1356,review,andrew-openai,3,3 stars,0.31874918937683105,2023-09-19 00:30:20+00:00
1355,review,andrew-openai,4,4 stars,0.3063516318798065,2023-09-19 00:31:40+00:00
1355,review_body,andrew-openai,1,1 star,0.3589917719364166,
1354,review_body,andrew-openai,1,1 star,0.30361342430114746,
1352,review,sjadler2004,5,5 stars,0.3458520174026489,2023-09-19 01:26:27+00:00
1352,review_body,andrew-openai,1,1 star,0.33869946002960205,
1351,review_body,andrew-openai,3,3 stars,0.2938120663166046,
1351,review_body,andrew-openai,5,5 stars,0.7528567314147949,
1349,issue,adrianmargin,5,5 stars,0.26494187116622925,2023-10-07 19:48:36+00:00
1349,review_body,usama-openai,3,3 stars,0.46755191683769226,
1349,review_body,usama-openai,5,5 stars,0.5532419085502625,
1347,review_body,jwang47,5,5 stars,0.44048765301704407,
1345,review_body,usama-openai,5,5 stars,0.6098089218139648,
1343,issue,rohoswagger,5,5 stars,0.8574053049087524,2023-09-08 23:03:36+00:00
1343,review_body,usama-openai,5,5 stars,0.6098089218139648,
